"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2489,186,"RUS","Russia",6,"Astrakhan'","<U+0410><U+0441><U+0442><U+0440><U+0430><U+0445><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Astrachan|Astrakhanskaya Oblast","Oblast","Region"
2490,186,"RUS","Russia",7,"Bashkortostan","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0430><U+0448><U+043A><U+043E><U+0440><U+0442><U+043E><U+0441><U+0442><U+0430><U+043D>","Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan","Respublika","Republic"
2491,186,"RUS","Russia",8,"Belgorod","<U+0411><U+0435><U+043B><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Belgorodskaya Oblast","Oblast","Region"
2492,186,"RUS","Russia",9,"Bryansk","<U+0411><U+0440><U+044F><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Bryanskaya Oblast","Oblast","Region"
2493,186,"RUS","Russia",10,"Buryat","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0443><U+0440><U+044F><U+0442><U+0438><U+044F>","Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika","Respublika","Republic"
2494,186,"RUS","Russia",11,"Chechnya","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0427><U+0435><U+0447><U+0435><U+043D><U+043E>-<U+0418><U+043D><U+0433><U+0443><U+0448><U+0441><U+043A><U+0430><U+044F>","Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia","Respublika","Republic"
2495,186,"RUS","Russia",12,"Chelyabinsk","<U+0427><U+0435><U+043B><U+044F><U+0431><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chelyabinskaya Oblast","Oblast","Region"
2496,186,"RUS","Russia",13,"Chita","<U+0427><U+0438><U+0442><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Transbaikalia|Zabaykal'skaya|Transbaikalien|Chitinskaya Oblast","Oblast","Region"
2497,186,"RUS","Russia",14,"Chukot","<U+0427><U+0443><U+043A><U+043E><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Chukotka|Chukotskiy Aok","Avtonomnyy Okrug","Autonomous Province"
2498,186,"RUS","Russia",15,"Chuvash","<U+0427><U+0443><U+0432><U+0430><U+0448><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic","Respublika","Republic"
2499,186,"RUS","Russia",16,"City of St. Petersburg","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433> (<U+0433><U+043E><U+0440><U+0441><U+043E><U+0432><U+0435><U+0442>)","Sankt-Peterburg gorsovet","Gorsovet","City"
2500,186,"RUS","Russia",17,"Dagestan","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0414><U+0430><U+0433><U+0435><U+0441><U+0442><U+0430><U+043D>","Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan","Respublika","Republic"
2501,186,"RUS","Russia",18,"Evenk","<U+042D><U+0432><U+0435><U+043D><U+043A><U+0438><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Evenki|Evenkiyskiy A.Okr|Evenkiyskiy AOk","Avtonomnyy Okrug","Autonomous Province"
2502,186,"RUS","Russia",19,"Gorno-Altay","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+043B><U+0442><U+0430><U+0439>","Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai","Respublika","Republic"
2503,186,"RUS","Russia",20,"Ingush","<U+0420><U+0435><U+0441><U+043F><U+0443>´<U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0433><U+0443><U+0448><U+0435>´<U+0442><U+0438><U+044F>","Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya","Respublika","Republic"
2504,186,"RUS","Russia",21,"Irkutsk","<U+0418><U+0440><U+043A><U+0443><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Irkutskaya Oblast","Oblast","Region"
2505,186,"RUS","Russia",22,"Ivanovo","<U+0418><U+0432><U+0430><U+043D><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ivanovskaya Oblast","Oblast","Region"
2506,186,"RUS","Russia",23,"Kabardin-Balkar","<U+041A><U+0430><U+0431><U+0430><U+0440><U+0434><U+0438><U+043D><U+043E>-<U+0411><U+0430><U+043B><U+043A><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic","Respublika","Republic"
2507,186,"RUS","Russia",24,"Kaliningrad","<U+041A><U+0430><U+043B><U+0438><U+043D><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kaliningradskaya Oblast","Oblast","Region"
2508,186,"RUS","Russia",25,"Kalmyk","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+043B><U+043C><U+044B><U+043A><U+0438><U+044F>","Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya","Respublika","Republic"
